bay_id,st_marker_id,status,location,lat,lon
6005,13009S,Unoccupied,"(-37.81991148319636, 144.95154801430996)",-37.81991148319636,144.95154801430996
5410,11780E,Present,"(-37.811197954512316, 144.97554565418105)",-37.811197954512316,144.97554565418105
5728,12410N,Present,"(-37.81084267892859, 144.9774676217727)",-37.81084267892859,144.9774676217727
5568,12069W,Present,"(-37.81183781077067, 144.98318875471043)",-37.81183781077067,144.98318875471043
3267,5824E,Unoccupied,"(-37.80678413595104, 144.95351785207032)",-37.80678413595104,144.95351785207032
4609,8338E,Unoccupied,"(-37.82457668385308, 144.9684363783186)",-37.82457668385308,144.9684363783186
5831,12549S,Unoccupied,"(-37.81598145514784, 144.9807774962766)",-37.81598145514784,144.9807774962766
5419,11789W,Present,"(-37.81123821091168, 144.97543311379718)",-37.81123821091168,144.97543311379718
5502,11937W,Present,"(-37.81540764950641, 144.98258312473524)",-37.81540764950641,144.98258312473524
5917,12804N,Unoccupied,"(-37.802795489126595, 144.96721631450913)",-37.802795489126595,144.96721631450913
5563,12059W,Unoccupied,"(-37.812102074876826, 144.98314484271316)",-37.812102074876826,144.98314484271316
5399,11764E,Unoccupied,"(-37.809957840308044, 144.9757155010556)",-37.809957840308044,144.9757155010556
5765,12447S,Unoccupied,"(-37.811983005070296, 144.97604299006127)",-37.811983005070296,144.97604299006127
5477,11877W,Unoccupied,"(-37.811287488946306, 144.97795896389945)",-37.811287488946306,144.97795896389945
8153,15199S,Unoccupied,"(-37.81673355931401, 144.9809988170741)",-37.81673355931401,144.9809988170741
4361,C7156,Unoccupied,"(-37.80712310200124, 144.95381396511996)",-37.80712310200124,144.95381396511996
5504,11941W,Present,"(-37.81530442557474, 144.98260082214026)",-37.81530442557474,144.98260082214026
6267,13337W,Present,"(-37.81914482119926, 144.9484106244932)",-37.81914482119926,144.9484106244932
5708,12358N,Unoccupied,"(-37.810226893313526, 144.9825304878785)",-37.810226893313526,144.9825304878785
3551,7075S,Present,"(-37.80884456862403, 144.95402145604163)",-37.80884456862403,144.95402145604163
