bay_id,st_marker_id,status,location,lat,lon
6262,13428E,Present,"(-37.8199993586387, 144.94819170152437)",-37.8199993586387,144.94819170152437
5144,9958N,Unoccupied,"(-37.825944486806165, 144.96730411505928)",-37.825944486806165,144.96730411505928
6431,13689W,Present,"(-37.820327889427425, 144.94604541211345)",-37.820327889427425,144.94604541211345
3389,6221W,Unoccupied,"(-37.806112435723136, 144.95089614486108)",-37.806112435723136,144.95089614486108
3927,C5770,Unoccupied,"(-37.80441928801535, 144.95540725409757)",-37.80441928801535,144.95540725409757
5178,C8008,Present,"(-37.810453517080546, 144.95253771771743)",-37.810453517080546,144.95253771771743
3404,6253S,Present,"(-37.807680383913905, 144.96640504611318)",-37.807680383913905,144.96640504611318
4183,C6636,Present,"(-37.80849716973863, 144.95928147553542)",-37.80849716973863,144.95928147553542
6258,13420E,Present,"(-37.819826100923, 144.94800755067544)",-37.819826100923,144.94800755067544
3973,C5914,Present,"(-37.80448176840822, 144.9538948503972)",-37.80448176840822,144.9538948503972
946,C790,Present,"(-37.81157057108945, 144.96753234404272)",-37.81157057108945,144.96753234404272
6407,13650E,Unoccupied,"(-37.82044371050234, 144.9455208927331)",-37.82044371050234,144.9455208927331
5096,9894N,Unoccupied,"(-37.82548875847726, 144.96884326235067)",-37.82548875847726,144.96884326235067
3943,C5854,Present,"(-37.805362842586234, 144.95373722072688)",-37.805362842586234,144.95373722072688
4268,C6868,Unoccupied,"(-37.80940834052792, 144.9557817779109)",-37.80940834052792,144.9557817779109
4017,C6072,Present,"(-37.80518907672143, 144.9522558073889)",-37.80518907672143,144.9522558073889
6761,13105W,Unoccupied,"(-37.82082484971629, 144.9441378971885)",-37.82082484971629,144.9441378971885
2555,C3096,Unoccupied,"(-37.813412561854015, 144.95838767290434)",-37.813412561854015,144.95838767290434
5238,11501S,Present,"(-37.81152512653162, 144.9532043905266)",-37.81152512653162,144.9532043905266
3391,6225W,Unoccupied,"(-37.80607013714261, 144.95087680551586)",-37.80607013714261,144.95087680551586
5102,9900N,Present,"(-37.82551286390782, 144.96876064344832)",-37.82551286390782,144.96876064344832
6423,13673W,Present,"(-37.82107646228571, 144.94624338224656)",-37.82107646228571,144.94624338224656
4067,C6172,Unoccupied,"(-37.80378588076532, 144.95250516614124)",-37.80378588076532,144.95250516614124
8342,647W,Present,"(-37.81613310190409, 144.9695092774775)",-37.81613310190409,144.9695092774775
3871,C5638,Unoccupied,"(-37.80689127173339, 144.95496868594748)",-37.80689127173339,144.95496868594748
4122,C6406,Present,"(-37.80368004193126, 144.9510178787948)",-37.80368004193126,144.9510178787948
3012,5086E,Unoccupied,"(-37.804660182853496, 144.95783832325395)",-37.804660182853496,144.95783832325395
5114,9920N,Present,"(-37.82559357472515, 144.96848460279853)",-37.82559357472515,144.96848460279853
1039,1228E,Present,"(-37.8122279003903, 144.95955850622957)",-37.8122279003903,144.95955850622957
3543,7063S,Unoccupied,"(-37.8087307953435, 144.95441713063076)",-37.8087307953435,144.95441713063076
3822,C5500,Unoccupied,"(-37.80718808695781, 144.9543188718062)",-37.80718808695781,144.9543188718062
4011,C6060,Unoccupied,"(-37.80588431030715, 144.95213574337413)",-37.80588431030715,144.95213574337413
4018,C6074,Present,"(-37.805166217141114, 144.95225998005083)",-37.805166217141114,144.95225998005083
6413,13662E,Present,"(-37.819801064455454, 144.94535366675757)",-37.819801064455454,144.94535366675757
933,C740,Present,"(-37.81348501071899, 144.96841138944723)",-37.81348501071899,144.96841138944723
6220,13318E,Unoccupied,"(-37.81954359415954, 144.94701338916434)",-37.81954359415954,144.94701338916434
8896,C2966,Unoccupied,"(-37.81281349918373, 144.9604797102408)",-37.81281349918373,144.9604797102408
4249,C6830,Unoccupied,"(-37.809366383362786, 144.95564373036325)",-37.809366383362786,144.95564373036325
956,C826,Unoccupied,"(-37.811210911027, 144.9673683886752)",-37.811210911027,144.9673683886752
3667,7626N,Present,"(-37.804978232599524, 144.94866939081794)",-37.804978232599524,144.94866939081794
4608,8337W,Unoccupied,"(-37.82460200635495, 144.9683084063169)",-37.82460200635495,144.9683084063169
3844,C5568,Unoccupied,"(-37.80639428984537, 144.95395860656504)",-37.80639428984537,144.95395860656504
4062,C6162,Unoccupied,"(-37.803909202125304, 144.9524831784812)",-37.803909202125304,144.9524831784812
3282,5846E,Unoccupied,"(-37.806528893455734, 144.95356284829148)",-37.806528893455734,144.95356284829148
5229,11512N,Present,"(-37.81171126342535, 144.95212969396388)",-37.81171126342535,144.95212969396388
4596,8324E,Present,"(-37.82494469392529, 144.96832522003348)",-37.82494469392529,144.96832522003348
5135,9948N,Present,"(-37.82590736555987, 144.9674315295153)",-37.82590736555987,144.9674315295153
5093,9891S,Unoccupied,"(-37.82559015176679, 144.9688633278964)",-37.82559015176679,144.9688633278964
6044,13008N,Unoccupied,"(-37.81980900458649, 144.95128798112037)",-37.81980900458649,144.95128798112037
4053,C6144,Unoccupied,"(-37.80422532345816, 144.95242753080112)",-37.80422532345816,144.95242753080112
2688,10197W,Present,"(-37.803609634862845, 144.94942976511823)",-37.803609634862845,144.94942976511823
2696,10326E,Unoccupied,"(-37.80304693129534, 144.94402475908936)",-37.80304693129534,144.94402475908936
1036,1211W,Unoccupied,"(-37.81247081755339, 144.95941713343254)",-37.81247081755339,144.95941713343254
6033,13077S,Present,"(-37.821270967232365, 144.94358696022024)",-37.821270967232365,144.94358696022024
3557,7083S,Unoccupied,"(-37.80892288185282, 144.9537490876604)",-37.80892288185282,144.9537490876604
6662,8471W,Unoccupied,"(-37.82541197095398, 144.9666816058882)",-37.82541197095398,144.9666816058882
1541,1910N,Present,"(-37.81446480983439, 144.969777886918)",-37.81446480983439,144.969777886918
6749,6629S,Unoccupied,"(-37.80855847755369, 144.95941119429182)",-37.80855847755369,144.95941119429182
3636,7588N,Unoccupied,"(-37.80557615295422, 144.95408666598183)",-37.80557615295422,144.95408666598183
5056,9833S,Unoccupied,"(-37.82524505614767, 144.97004651695818)",-37.82524505614767,144.97004651695818
4270,C6876,Unoccupied,"(-37.80936810877179, 144.9557893526814)",-37.80936810877179,144.9557893526814
6173,13236N,Unoccupied,"(-37.819446126783916, 144.94483434404276)",-37.819446126783916,144.94483434404276
3265,5822E,Unoccupied,"(-37.80687465816447, 144.9535021664006)",-37.80687465816447,144.9535021664006
1114,C1144,Unoccupied,"(-37.814260020397086, 144.96035910621288)",-37.814260020397086,144.96035910621288
4020,C6078,Unoccupied,"(-37.80511953669214, 144.95226842413223)",-37.80511953669214,144.95226842413223
3123,5288E,Present,"(-37.80447945903853, 144.9574527808565)",-37.80447945903853,144.9574527808565
1472,1777S,Present,"(-37.816775252167844, 144.96602201405722)",-37.816775252167844,144.96602201405722
886,797W,Unoccupied,"(-37.81133408286653, 144.96729994151607)",-37.81133408286653,144.96729994151607
3620,7568N,Unoccupied,"(-37.80565938100267, 144.954826317798)",-37.80565938100267,144.954826317798
